# ================================================================================================
# This file contains the simulated magnetisation and heat capacity per reduced temperature.
# The simualtion ran for 18.332795803333283 minutes.
# Simulation parameters:
# TEMPERATURE_STEPS = 76
# SIMULATION_BATCH_COUNT = 6
# BATCH_CPU_CORE_LIMIT = 7
# INITIAL_DOWN_PROBABILITY = 0.5
# SIMULATION_SWEEP_COUNT = 1500
# EQUILIBRATION_SWEEP_COUNT = 1000
# TEMPERATURE_RANGE = array([1.5, 3. ])
# LATTICE_SIDE_SIZE = 50
# ITERATIONS_PER_SWEEP = 25000
# RANDOMNESS_SEED = 17
# DATA_PATH = './data'
# FIGURE_PATH = './figures'
# SAVE_DATA = True
# SAVE_FIGURE = True
# ================================================================================================
#
temps,abs_magnetisation,Heat Capacity
1.5,0.9632350857142852,739.5943090795053
1.52,0.9768966095238089,874.363774567799
1.54,0.9464953523809518,777.5729715926813
1.56,0.9365060952380946,796.3748235808132
1.58,0.9696680380952376,896.7421344262112
1.6,0.9744182476190472,836.240168452544
1.62,0.9734855999999996,949.9583751026382
1.6400000000000001,0.9762233904761899,739.7480739921025
1.66,0.9743118476190469,768.3084182512654
1.68,0.9704703999999994,887.4085833062197
1.7,0.9629033904761901,1065.5283424616582
1.72,0.9426381333333329,1300.579084189615
1.74,0.9652800761904756,940.577694229083
1.76,0.9575106666666665,1170.5779142069866
1.78,0.9599365714285711,1028.7763430544296
1.8,0.9568568380952378,1108.2854363317495
1.82,0.9536678095238091,1142.5451819138923
1.84,0.950170857142857,1206.565204339019
1.8599999999999999,0.9466797333333332,1262.1167447929074
1.88,0.9427285714285715,1330.4074504731673
1.9,0.9383635428571433,1384.6547497162942
1.92,0.9335594285714289,1501.2658854166823
1.94,0.928820647619048,1551.8815954329364
1.96,0.9235124190476193,1648.4005450110672
1.98,0.9174930666666671,1720.573506104728
2.0,0.9113096380952382,1809.976809143022
2.02,0.9042945142857145,1898.3328577495608
2.04,0.896845942857143,2049.114951758218
2.06,0.8887675809523808,2136.465411487834
2.08,0.8792591999999997,2245.637446111455
2.1,0.8686753523809522,2362.3430478783102
2.12,0.8572257142857141,2557.27769346816
2.14,0.8414030476190475,2781.962901313986
2.16,0.8271587428571432,2894.252623293484
2.18,0.8080220952380953,3231.877491793618
2.2,0.7874875809523812,3427.456836521048
2.2199999999999998,0.7459801142857144,3928.4460692353273
2.24,0.677407542857143,4490.300692419805
2.26,0.5758904380952382,4739.522770400006
2.2800000000000002,0.5704186666666666,4713.766222280871
2.3,0.41206148571428575,4853.286836402868
2.3200000000000003,0.2560452952380952,4343.018407224975
2.34,0.21824624761904757,3942.286411126067
2.36,0.11885180952380953,3553.362072201503
2.38,0.10212579047619048,3069.8598600448736
2.4,0.06789965714285713,2974.360969047582
2.42,0.06087878095238095,2688.448160644734
2.44,0.04139946666666665,2499.540750950223
2.46,0.03811466666666668,2415.0183749280113
2.48,0.03685809523809523,2254.862922303176
2.5,0.024453714285714283,2154.9046735238003
2.52,0.020421561904761906,2049.7725705167118
2.54,0.019128342857142856,1968.2063557803351
2.56,0.02109630476190476,1884.338421456477
2.58,0.02008308571428572,1838.9520556514196
2.6,0.011660076190476189,1758.2096874612703
2.62,0.014321371428571426,1704.244378477227
2.64,0.010933257142857141,1628.7692297433337
2.66,0.008827999999999999,1603.0464143171969
2.6799999999999997,0.008207047619047622,1518.4260970202372
2.7,0.00855577142857143,1473.8252048337476
2.7199999999999998,0.007828876190476189,1452.8932196407818
2.74,0.0070151619047619015,1397.6981176154063
2.76,0.007395580952380952,1339.6916978225838
2.7800000000000002,0.006903161904761905,1316.6277095979908
2.8,0.006365257142857144,1279.5050112730864
2.8200000000000003,0.005935428571428571,1261.5713541284856
2.84,0.005363238095238095,1197.0112728955671
2.8600000000000003,0.00510190476190476,1171.1528469665393
2.88,0.005012761904761904,1162.173978542023
2.9000000000000004,0.00570198095238095,1133.8525595606143
2.92,0.00452735238095238,1097.9907921614854
2.94,0.005308990476190477,1060.5850098614078
2.96,0.0037567238095238087,1042.990973425168
2.98,0.004018971428571428,1012.2859545151407
3.0,0.005637942857142855,996.1545808253866
