# ================================================================================================
# This file contains the simulated magnetisation and heat capacity per reduced temperature.
# The simualtion ran for 34.25807199833313 minutes.
# Simulation parameters:
# TEMPERATURE_STEPS = 51
# SIMULATION_BATCH_COUNT = 4
# BATCH_CPU_CORE_LIMIT = 7
# INITIAL_DOWN_PROBABILITY = 0.5
# SIMULATION_SWEEP_COUNT = 1300
# EQUILIBRATION_SWEEP_COUNT = 1000
# TEMPERATURE_RANGE = array([2. , 2.5])
# LATTICE_SIDE_SIZE = 50
# ITERATIONS_PER_SWEEP = 10000
# RANDOMNESS_SEED = 5
# DATA_PATH = './data'
# FIGURE_PATH = './figures'
# SAVE_DATA = True
# SAVE_FIGURE = True
# ================================================================================================
#
temps,abs_magnetisation,Heat Capacity
2.0,0.912626666666667,1812.5892888894305
2.01,0.9058933333333323,1802.0278265938248
2.02,0.9039173333333334,2025.2627084493124
2.03,0.893842666666667,2160.104788328514
2.04,0.8953386666666672,2512.458285274036
2.05,0.890202666666667,1727.2882543455487
2.06,0.8875706666666678,2190.5380546908327
2.07,0.8792239999999998,2338.0774969475483
2.08,0.8694293333333336,2751.709401708946
2.09,0.8721786666666667,1843.6548206825153
2.1,0.8648293333333327,2384.5643738981603
2.11,0.8490800000000006,2733.4356570806267
2.12,0.8540160000000003,2545.6602191364364
2.13,0.8532026666666657,1893.0744781679464
2.14,0.8457146666666661,2936.1855960249727
2.15,0.8294106666666669,2788.0070284234635
2.16,0.8264186666666664,2420.992645937585
2.17,0.8274373333333334,2062.1732935975833
2.18,0.8189653333333337,2834.4527677247256
2.19,0.8077386666666666,2946.6834766213346
2.2,0.7979280000000001,2571.847162534258
2.21,0.7415626666666667,4683.606387165494
2.22,0.7748746666666665,3209.3887040194254
2.23,0.7667253333333334,3460.252559986256
2.24,0.7177733333333335,3436.539824262804
2.25,0.7068639999999998,3932.2442798353286
2.26,0.6447199999999996,4213.782024173183
2.27,0.6562986666666678,4677.2056813743
2.2800000000000002,0.6867359999999998,4473.085427994943
2.29,0.42686133333333304,4782.398810091562
2.3,0.38645600000000024,3943.6738164250414
2.31,0.5034559999999998,3527.334561862842
2.32,0.4653093333333337,3455.2293565861655
2.33,0.32050400000000023,3499.288327285384
2.34,0.42691999999999963,4378.294202157763
2.35,0.06311466666666664,2850.294419797622
2.36,0.2483546666666667,3107.5835168691833
2.37,0.22054133333333328,2736.34815566508
2.38,0.03756266666666671,2487.0081365880737
2.39,0.13437600000000002,2958.9336943604926
2.4,0.023370666666666647,2494.209228395224
2.41,0.08179200000000007,2455.338043230505
2.42,0.0374933333333333,2480.433455516804
2.43,0.05451999999999997,2263.9348939960546
2.44,0.00116533333333333,2134.8063841858093
2.45,0.02800266666666665,2170.6237215973883
2.46,0.08468000000000005,2401.581040092126
2.47,0.008946666666666664,2479.6917321851865
2.48,0.03213866666666673,2501.864348479678
2.49,0.13623200000000002,2308.7850984482934
2.5,0.06630133333333334,2124.6480782221256
